0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8,-7.07859,0.142622,0,0,0.53471,0.272194,0.193095,-7.07859,0.142622,0,0
3.9,-7.07859,0.142622,0.348978,0.409756,0.44967,0.287115,0.263215,-7.07859,0.142622,0.348978,0.409756
4,-7.07589,0.160787,0.348978,0.409756,0.41991,0.286748,0.293343,-7.07589,0.160787,0.348978,0.409756
4.1,-7.01474,0.265515,1.06023,1.48252,0.386004,0.304688,0.309308,-7.01474,0.265515,1.06023,1.48252
4.2,-6.90087,0.486055,1.06023,1.48252,0.371182,0.312641,0.316176,-6.90087,0.486055,1.06023,1.48252
4.3,-6.85208,0.594024,0.907135,0.800926,0.362871,0.317135,0.319994,-6.85208,0.594024,0.907135,0.800926
4.4,-6.85208,0.594024,0.907135,0.800926,0.357552,0.320024,0.322423,-6.85208,0.594024,0.907135,0.800926
4.5,-6.82853,0.64372,0.907135,0.800926,0.353857,0.322039,0.324105,-6.82853,0.64372,0.907135,0.800926
4.6,-6.73691,0.731578,0.907135,0.800926,0.35114,0.323523,0.325337,-6.73691,0.731578,0.907135,0.800926
4.7,-6.61681,0.858541,1.38182,0.70852,0.349058,0.324663,0.326279,-6.61681,0.858541,1.38182,0.70852,-3.72031,-0.095619,0,0
4.8,-6.61681,0.858541,1.38182,0.70852,0.336173,0.326042,0.337785,-6.61681,0.858541,1.38182,0.70852,-3.72031,-0.095619,0,0
4.9,-6.48903,0.962323,1.38182,0.70852,0.334723,0.329812,0.335465,-6.48903,0.962323,1.38182,0.70852,-6.33141,1.06845,-0,0
5,-3.72073,-0.0978462,1.38182,0.70852,0.333333,0.333333,0.333333,-3.72073,-0.0978462,1.38182,0.70852,-6.17294,1.16674,-0,0
5.1,-3.6626,-0.0986886,1.22235,0.523783,0.333333,0.333333,0.333333,-3.6626,-0.0986886,1.22235,0.523783,-6.02665,1.23541,-0.00192855,-0.11624
5.2,-3.6626,-0.0986886,1.22235,0.523783,0.333333,0.333333,0.333333,-3.6626,-0.0986886,1.22235,0.523783,-6.02665,1.23541,-0.00192855,-0.11624
5.3,-3.60887,-0.0851744,1.22235,0.523783,0.333333,0.333333,0.333333,-3.60887,-0.0851744,1.22235,0.523783,-5.89431,1.30034,-0.00192855,-0.11624
5.4,-3.56808,-0.213423,1.22235,0.523783,0.333333,0.333333,0.333333,-3.56808,-0.213423,1.22235,0.523783,-5.80715,1.3676,-0.00192855,-0.11624
5.5,-3.51672,-0.246202,0.247816,0.654801,0.330941,0.337333,0.331726,-3.51672,-0.246202,0.247816,0.654801,-5.79997,1.44499,0.00103195,0.0621996
5.6,-3.51672,-0.246202,0.247816,0.654801,0.3285,0.341439,0.330062,-3.51672,-0.246202,0.247816,0.654801,-5.79997,1.44499,0.00103195,0.0621996
5.7,-3.46784,-0.29465,0.247816,0.654801,0.326107,0.345608,0.328286,-3.46784,-0.29465,0.247816,0.654801,-5.81838,1.52572,0.00103195,0.0621996
