0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
4.7
4.8
4.9
5
5.1
5.2
5.3
5.4
5.5
5.6
5.7
5.8
5.9
6,-7.06974,1.92045,-7.64162e-06,-0.00103735,0.321345,0.359948,0.318707,-7.06974,1.92045,-7.64162e-06,-0.00103735
6.1,-7.07078,1.91224,0.215598,-0.0973343,0.360872,0.329612,0.309516,-7.07078,1.91224,0.215598,-0.0973343
6.2,-7.0627,1.90388,0.215598,-0.0973343,0.382754,0.313888,0.303358,-7.0627,1.90388,0.215598,-0.0973343
6.3,-7.03904,1.89615,0.158483,-0.0261816,0.361007,0.333331,0.305663,-7.03904,1.89615,0.158483,-0.0261816
6.4,-7.03643,1.89613,0.158483,-0.0261816,0.347956,0.345686,0.306358,-7.03643,1.89613,0.158483,-0.0261816
6.5,-7.02113,1.89144,0.221248,-0.079998,0.35453,0.341906,0.303565,-7.02113,1.89144,0.221248,-0.079998
6.6,-7.00781,1.88654,0.221248,-0.079998,0.35963,0.338894,0.301476,-7.00781,1.88654,0.221248,-0.079998
6.7,-6.99865,1.8684,0.212142,-0.179304,0.364147,0.330763,0.30509,-6.99865,1.8684,0.212142,-0.179304
6.8,-7.00372,1.85047,0.212142,-0.179304,0.366008,0.325297,0.308695,-7.00372,1.85047,0.212142,-0.179304
6.9,-6.99393,1.82736,0.181295,-0.186264,0.360481,0.324844,0.314675,-6.99393,1.82736,0.181295,-0.186264
7,-6.9994,1.81094,0.181295,-0.186264,0.35595,0.324428,0.319622,-6.9994,1.81094,0.181295,-0.186264
7.1,-6.99563,1.77996,0.223151,-0.169476,0.356392,0.321433,0.322174,-6.99563,1.77996,0.223151,-0.169476
