0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
4.7,-7.07206,2.04189,0.0993426,0.013166,0.332417,0.332764,0.33482,-7.07206,2.04189,0.0993426,0.013166
4.8,-7.07346,2.04143,0.0993426,0.013166,0.332203,0.33263,0.335167,-7.07346,2.04143,0.0993426,0.013166
4.9,-7.05756,2.04143,0.178931,-0.0344115,0.331995,0.332516,0.335489,-7.05756,2.04143,0.178931,-0.0344115
5,-7.04889,2.03684,0.178931,-0.0344115,0.331894,0.332464,0.335641,-7.04889,2.03684,0.178931,-0.0344115
5.1,-7.03684,2.0338,0.210245,0.0157049,0.331847,0.332442,0.335711,-7.03684,2.0338,0.210245,0.0157049
5.2,-7.02345,2.03119,0.210245,0.0157049,0.331835,0.332438,0.335727,-7.02345,2.03119,0.210245,0.0157049
5.3,-7.01265,2.026,0.171677,-0.0180991,0.331859,0.332452,0.335689,-7.01265,2.026,0.171677,-0.0180991
5.4,-7.01643,2.02017,0.171677,-0.0180991,0.331879,0.332465,0.335656,-7.01643,2.02017,0.171677,-0.0180991
5.5,-7.01431,2.01963,0.163642,0.0031874,0.331912,0.332482,0.335605,-7.01431,2.01963,0.163642,0.0031874
5.6,-7.01253,2.01912,0.163642,0.0031874,0.331941,0.332497,0.335561,-7.01253,2.01912,0.163642,0.0031874
5.7,-7.01895,2.01832,0.195247,-0.0268017,0.331934,0.332496,0.335569,-7.01895,2.01832,0.195247,-0.0268017
5.8,-7.0153,2.01272,0.195247,-0.0268017,0.331936,0.332499,0.335565,-7.0153,2.01272,0.195247,-0.0268017
5.9,-7.01373,2.00524,0.19892,-0.00223251,0.33195,0.332508,0.335543,-7.01373,2.00524,0.19892,-0.00223251
6,-7.01154,2.00354,0.19892,-0.00223251,0.331965,0.332516,0.335519,-7.01154,2.00354,0.19892,-0.00223251
6.1,-7.01266,1.98299,0.203871,-0.00741381,0.331432,0.335119,0.333449,-7.01266,1.98299,0.203871,-0.00741381
6.2,-7.00933,1.97287,0.203871,-0.00741381,0.330827,0.33754,0.331633,-7.00933,1.97287,0.203871,-0.00741381
6.3,-7.00991,1.96338,0.141253,-0.0317336,0.3291,0.340897,0.330003,-7.00991,1.96338,0.141253,-0.0317336
6.4,-7.00988,1.94307,0.141253,-0.0317336,0.327452,0.344041,0.328507,-7.00988,1.94307,0.141253,-0.0317336
6.5,-7.00354,1.91932,0.235217,-0.0435577,0.325711,0.348012,0.326277,-7.00354,1.91932,0.235217,-0.0435577
6.6,-7.00432,1.90757,0.235217,-0.0435577,0.324181,0.351617,0.324202,-7.00432,1.90757,0.235217,-0.0435577
6.7,-7.00886,1.86728,-0.717916,-0.200994,0.325697,0.350975,0.323328,-7.00886,1.86728,-0.717916,-0.200994
6.8,-7.0081,1.8844,-0.717916,-0.200994,0.327128,0.350366,0.322506,-7.0081,1.8844,-0.717916,-0.200994
6.9,-7.12994,1.89159,0.20855,-0.176016,0.329892,0.347187,0.322921,-7.12994,1.89159,0.20855,-0.176016
7,-7.10244,1.89964,0.20855,-0.176016,0.332958,0.343997,0.323045,-7.10244,1.89964,0.20855,-0.176016
7.1,-7.05813,1.89486,0.151319,-0.162055,0.334325,0.342231,0.323443,-7.05813,1.89486,0.151319,-0.162055
7.2,-7.03515,1.89022,0.151319,-0.162055,0.335758,0.34051,0.323733,-7.03515,1.89022,0.151319,-0.162055
7.3,-7.01487,1.88472,0.170192,-0.183782,0.3369,0.33881,0.32429,-7.01487,1.88472,0.170192,-0.183782
7.4,-6.96734,1.86703,0.170192,-0.183782,0.338136,0.337121,0.324742,-6.96734,1.86703,0.170192,-0.183782
7.5,-6.94878,1.85349,0.191327,-0.160389,0.341334,0.334367,0.324299,-6.94878,1.85349,0.191327,-0.160389
7.6,-6.90057,1.84977,0.191327,-0.160389,0.344939,0.331472,0.323589,-6.90057,1.84977,0.191327,-0.160389
7.7,-6.88014,1.83007,0.17357,-0.147796,0.348006,0.32906,0.322934,-6.88014,1.83007,0.17357,-0.147796
7.79999,-6.8585,1.80539,0.17357,-0.147796,0.350636,0.326909,0.322455,-6.8585,1.80539,0.17357,-0.147796
7.89999,-6.82147,1.79029,0.246545,-0.0905776,0.35026,0.32716,0.32258,-6.82147,1.79029,0.246545,-0.0905776
7.99999,-6.79015,1.76569,0.246545,-0.0905776,0.35001,0.32738,0.32261,-6.79015,1.76569,0.246545,-0.0905776
