0.25	2	15
0	200	0	0 0	-200	0	0 0	0	200	0 0	0	-200	0 0
0.25	197.5	0	-10 -0	-197.5	0	10 -0	0	197.5	-0 -10	0	-197.5	-0 10
0.5	195	0	-10 -0	-195	0	10 -0	0	195	-0 -10	0	-195	-0 10
0.75	192.5	0	-10 -0	-192.5	0	10 -0	0	192.5	-0 -10	0	-192.5	-0 10
1	190	0	-10 -0	-190	0	10 -0	0	190	-0 -10	0	-190	-0 10
1.25	187.5	0	-10 -0	-187.5	0	10 -0	0	187.5	-0 -10	0	-187.5	-0 10
1.5	185	0	-10 -0	-185	0	10 -0	0	185	-0 -10	0	-185	-0 10
1.75	182.5	0	-10 -0	-182.5	0	10 -0	0	182.5	-0 -10	0	-182.5	-0 10
2	180	0	-10 -0	-180	0	10 -0	0	180	-0 -10	0	-180	-0 10
2.25	177.5	0	-10 -0	-177.5	0	10 -0	0	177.5	-0 -10	0	-177.5	-0 10
2.5	175	0	-10 -0	-175	0	10 -0	0	175	-0 -10	0	-175	-0 10
2.75	172.5	0	-10 -0	-172.5	0	10 -0	0	172.5	-0 -10	0	-172.5	-0 10
3	170	0	-10 -0	-170	0	10 -0	0	170	-0 -10	0	-170	-0 10
3.25	167.5	0	-10 -0	-167.5	0	10 -0	0	167.5	-0 -10	0	-167.5	-0 10
3.5	165	0	-10 -0	-165	0	10 -0	0	165	-0 -10	0	-165	-0 10
3.75	162.5	0	-10 -0	-162.5	0	10 -0	0	162.5	-0 -10	0	-162.5	-0 10
4	160	0	-10 -0	-160	0	10 -0	0	160	-0 -10	0	-160	-0 10
4.25	157.5	0	-10 -0	-157.5	0	10 -0	0	157.5	-0 -10	0	-157.5	-0 10
4.5	155	0	-10 -0	-155	0	10 -0	0	155	-0 -10	0	-155	-0 10
4.75	152.5	0	-10 -0	-152.5	0	10 -0	0	152.5	-0 -10	0	-152.5	-0 10
5	150	0	-10 -0	-150	0	10 -0	0	150	-0 -10	0	-150	-0 10
5.25	147.5	0	-10 -0	-147.5	0	10 -0	0	147.5	-0 -10	0	-147.5	-0 10
5.5	145	0	-10 -0	-145	0	10 -0	0	145	-0 -10	0	-145	-0 10
5.75	142.5	0	-10 -0	-142.5	0	10 -0	0	142.5	-0 -10	0	-142.5	-0 10
6	140	0	-10 -0	-140	0	10 -0	0	140	-0 -10	0	-140	-0 10
6.25	137.5	0	-10 -0	-137.5	0	10 -0	0	137.5	-0 -10	0	-137.5	-0 10
6.5	135	0	-10 -0	-135	0	10 -0	0	135	-0 -10	0	-135	-0 10
6.75	132.5	0	-10 -0	-132.5	0	10 -0	0	132.5	-0 -10	0	-132.5	-0 10
7	130	0	-10 -0	-130	0	10 -0	0	130	-0 -10	0	-130	-0 10
7.25	127.5	0	-10 -0	-127.5	0	10 -0	0	127.5	-0 -10	0	-127.5	-0 10
7.5	125	0	-10 -0	-125	0	10 -0	0	125	-0 -10	0	-125	-0 10
7.75	122.5	0	-10 -0	-122.5	0	10 -0	0	122.5	-0 -10	0	-122.5	-0 10
8	120	0	-10 -0	-120	0	10 -0	0	120	-0 -10	0	-120	-0 10
8.25	117.5	0	-10 -0	-117.5	0	10 -0	0	117.5	-0 -10	0	-117.5	-0 10
8.5	115	0	-10 -0	-115	0	10 -0	0	115	-0 -10	0	-115	-0 10
8.75	112.5	0	-10 -0	-112.5	0	10 -0	0	112.5	-0 -10	0	-112.5	-0 10
9	110	0	-10 -0	-110	0	10 -0	0	110	-0 -10	0	-110	-0 10
9.25	107.5	0	-10 -0	-107.5	0	10 -0	0	107.5	-0 -10	0	-107.5	-0 10
9.5	105	0	-10 -0	-105	0	10 -0	0	105	-0 -10	0	-105	-0 10
9.75	102.5	0	-10 -0	-102.5	0	10 -0	0	102.5	-0 -10	0	-102.5	-0 10
